,Address,Year,Flats,Entrance,Height,Square,Latitude,Longitude,city
33433,"кузнечный пер., 14б литер ж",1857,18,1,4,1453.11,59.927491,30.354891,spb
47604,"ул. тамбовская, 39 литер а",1900,13,1,5,703.8,59.910839,30.352456,spb
39676,"котельникова аллея, 1 литер а",1986,98,1,16,4978.4,60.012381,30.293644,spb
28055,"анадырский проезд, 27",1961,80,4,5,3404.0,55.866566,37.686913,moscow
31684,"пр-кт славы, 30 корпус 3 литер а",1965,90,6,5,4006.9,59.860062,30.384877,spb
30493,"ул. братская, 23 корпус 1",1968,215,6,9,10747.4,55.75017,37.794756,moscow
26288,"пр-кт балаклавский, 24 корпус 3",1964,72,1,9,2588.9,55.644089,37.59798,moscow
26181,"ул. криворожская, 29 корпус 3",1974,122,1,14,3649.5,55.670128,37.607233,moscow
27125,"ул. 4-я гражданская, 37 корпус 2",1959,60,3,5,2498.8,55.808513,37.717312,moscow
46284,"пр-кт орлово-денисовский, 19 корпус 1 строение 1",2020,586,7,12,26922.1,60.056912,30.267997,spb
29139,"ул. братеевская, 10 корпус 1",1996,388,6,17,21422.2,55.632626,37.760719,moscow
11291,"ул. левобережная, 4 корпус 10",2014,144,1,25,8077.4,55.869602,37.480579,moscow
15366,"ул. профсоюзная, 132 корпус 4",1972,143,3,12,7227.4,55.63067,37.510287,moscow
25886,"потаповский пер., 8/12 строение 4",1917,2,1,3,293.0,55.760378,37.640991,moscow
34655,"канала грибоедова наб., 170 литер б",1811,30,2,5,1929.62,59.918259,30.283897,spb
46989,"ул. маркина, 16а литер а",2005,34,2,7,2968.3,59.957219,30.305061,spb
3115,"пр-кт буденного, 47а",1960,60,3,5,2506.0,55.76208,37.737336,moscow
6611,"ул. нагорная, 2 корпус 2",1971,98,1,14,4196.0,55.682879,37.610566,moscow
14045,"большой симоновский пер., 11",1971,143,3,12,7208.0,55.728591,37.67431,moscow
42008,"пр-кт шуваловский, 51 корпус 2 литер а",2002,120,3,11,6522.2,60.028011,30.231831,spb
13838,"ул. 10-я парковая, 3",2010,183,2,22,15679.1,55.794381,37.801871,moscow
14781,"пр-кт мира, 124 корпус 20",1959,78,1,8,2135.0,55.814603,37.64109,moscow
35548,"ш. южное, 58 литер а",1961,48,3,4,1991.6,59.863513,30.415545,spb
41888,"пр-кт измайловский, 7 литер а",1897,93,8,4,5889.22,59.916451,30.305825,spb
10325,"ул. 3-я институтская, 1",1958,48,4,4,2567.4,55.719957,37.781039,moscow
14976,"1-й люберецкий проезд, 9б строение 3",1961,16,2,2,634.0,55.693617,37.857728,moscow
12121,"ул. 2-я мелитопольская, 21 корпус 3",1997,193,5,14,13692.0,55.539732,37.581271,moscow
8162,"большой толмачевский пер., 4",1907,19,2,5,1761.9,55.740887,37.623537,moscow
13368,"ул. аэродромная, 15",1963,80,4,5,3542.0,55.848882,37.431918,moscow
5098,"измайловский б-р, 20",1949,51,3,5,3019.71,55.796096,37.791046,moscow
46667,"ул. 1-я красноармейская, 16 литер а",1893,36,5,5,2608.84,59.915833,30.312463,spb
38764,"пр-кт большевиков, 9 корпус 1 литер щ",1975,223,6,9,9865.34,59.915048,30.473747,spb
46417,"реки мойки наб., 11 литер а",1993,23,6,6,1952.0,59.942629,30.324564,spb
1939,"ул. свободы, 93 корпус 1",1970,570,12,12,26888.4,55.867753,37.44285,moscow
49375,"ул. привокзальная, 18",1954,25,1,2,552.96,55.813733,48.898706,kazan
37517,"ул. благодатная, 40 литер а",1951,5,3,5,3931.89,59.876391,30.333816,spb
49625,"ул. азата аббасова, 8",2018,457,13,10,21760.0,55.793713,49.246147,kazan
18120,"ш. открытое, 25 корпус 16",1968,80,1,12,3505.0,55.828187,37.761743,moscow
