,Address,Year,Flats,Entrance,Height,Square,Latitude,Longitude,city,Flats_per_floor,Street
33433,"ул. шотмана, 3 литер а",1979,110,1,16,5545.0,59.899315,30.476244,spb,6.875,ул. шотмана
47604,"ул. алтайская, 12 литер а",1959,104,4,8,6778.5,59.849691,30.325202,spb,3.25,ул. алтайская
39676,"пр-кт дальневосточный, 10 корпус 1 литер а",2016,284,4,17,19249.5,59.915445,30.435093,spb,4.176470588235294,пр-кт дальневосточный
28055,"ул. 1-я владимирская, 18 корпус 5",1970,72,1,9,3021.6,55.755576,37.773116,moscow,8.0,ул. 1-я владимирская
31684,"пр-кт московский, 172 литер а",1953,148,6,7,9588.61,59.877398,30.320953,spb,3.523809523809524,пр-кт московский
30493,"2-й саратовский проезд, 6 корпус 2",1973,84,1,12,3648.8,55.712634,37.738513,moscow,7.0,2-й саратовский проезд
26288,"ул. большая очаковская, 37",1966,21,2,2,577.0,55.677428,37.449345,moscow,5.25,ул. большая очаковская
26181,"ул. малышева, 32",1992,94,1,14,4568.3,55.694226,37.742645,moscow,6.714285714285714,ул. малышева
27125,"ш. перовское, 12",1964,56,3,5,2356.0,55.735718,37.749256,moscow,3.733333333333333,ш. перовское
46284,"пр-кт среднеохтинский, 15 корпус 1 литер б",1950,12,2,3,876.32,59.950506,30.416426,spb,2.0,пр-кт среднеохтинский
29139,"дмитровский проезд, 14",1970,160,6,9,7581.0,55.808265,37.56883,moscow,2.9629629629629632,дмитровский проезд
11291,"ул. 2-я сокольническая, 1",1974,143,4,9,7141.0,55.785974,37.68076,moscow,3.9722222222222223,ул. 2-я сокольническая
15366,"туп. большой краснопрудный, 6/21",1956,16,1,4,977.5,55.781838,37.662461,moscow,4.0,туп. большой краснопрудный
25886,"ул. кантемировская, 16 корпус 1",1989,256,4,17,11202.2,55.638485,37.666647,moscow,3.764705882352941,ул. кантемировская
34655,"ул. передовиков, 11 корпус 1 литер а",1985,357,5,12,9636.7,59.940208,30.46833,spb,5.95,ул. передовиков
46989,"пр-кт английский, 56 литер а",1849,9,1,3,616.22,59.917303,30.290598,spb,3.0,пр-кт английский
3115,"пр-кт буденного, 47а",1960,60,3,5,2506.0,55.76208,37.737336,moscow,4.0,пр-кт буденного
6611,"ул. бестужевых, 27а",1975,216,6,9,10760.0,55.869915,37.613728,moscow,4.0,ул. бестужевых
14045,"луговой проезд, 12 корпус 1",1994,308,6,17,17182.0,55.646071,37.752571,moscow,3.019607843137255,луговой проезд
42008,"ул. киришская, 4 литер а",2003,164,5,8,10063.3,60.03287,30.426307,spb,4.1,ул. киришская
13838,"ул. просторная, 15 корпус 2",1960,80,4,5,3392.2,55.807486,37.723744,moscow,4.0,ул. просторная
14781,"ул. академика миллионщикова, 21",1973,48,1,9,2116.6,55.667767,37.649202,moscow,5.333333333333333,ул. академика миллионщикова
35548,"ул. будапештская, 91 корпус 2 литер а",1976,72,2,10,4067.5,59.831589,30.3996,spb,3.6,ул. будапештская
41888,"пр-кт московский, 125 литер а",1906,63,5,5,3879.0,59.88674,30.31903,spb,2.52,пр-кт московский
10325,"п. московский, ул. татьянин парк, 12 корпус 1",2017,64,2,10,3519.2,55.657057,37.423482,moscow,3.2,п. московский
14976,"ш. варшавское, 10 корпус 1",1963,170,6,8,11451.1,55.698173,37.619827,moscow,3.5416666666666665,ш. варшавское
12121,"ул. шверника, 2 корпус 1",1957,56,4,4,2219.7,55.69282,37.577481,moscow,3.5,ул. шверника
8162,"пр-кт кутузовский, 21",1953,100,2,12,5535.0,55.744977,37.549866,moscow,4.166666666666667,пр-кт кутузовский
13368,"ул. усачева, 62",1930,21,7,5,3249.0,55.724865,37.562874,moscow,0.6,ул. усачева
5098,"ул. беломорская, 10 корпус 3",1963,106,3,9,4454.2,55.860211,37.471929,moscow,3.925925925925926,ул. беломорская
46667,"пр-кт маршала блюхера, 67 корпус 2 литер а",1966,100,5,5,4458.0,59.973298,30.433143,spb,4.0,пр-кт маршала блюхера
38764,"ул. выборгская, 5 литер а",2015,287,7,10,18384.8,59.964895,30.347363,spb,4.1,ул. выборгская
46417,"новаторов б-р, 76 литер а",1965,50,5,5,2512.1,59.842187,30.264835,spb,2.0,новаторов б-р
1939,"ул. свободы, 93 корпус 1",1970,570,12,12,26888.4,55.867753,37.44285,moscow,3.9583333333333335,ул. свободы
49375,"ул. большая красная, 48",2004,34,2,5,3180.7,55.796658,49.130615,kazan,3.4,ул. большая красная
37517,"пр-кт народного ополчения, 227 литер а",1970,118,6,5,5284.55,59.825253,30.161295,spb,3.9333333333333336,пр-кт народного ополчения
49625,"ул. маяковского, 28",1954,32,2,5,1710.3,55.791243,49.132384,kazan,3.2,ул. маяковского
18120,"пр-кт севастопольский, 15 корпус 1",1982,126,1,12,5750.0,55.68328,37.600316,moscow,10.5,пр-кт севастопольский
39021,"ул. школьная, 90 корпус 3 литер а",1996,79,2,10,4750.2,59.987645,30.236511,spb,3.95,ул. школьная
7531,"грайвороновский 2-й проезд, 42 корпус 2",2018,276,3,24,16037.8,55.725483,37.743354,moscow,3.8333333333333335,грайвороновский 2-й проезд
41734,"пр-кт греческий, 25 литер а",1879,32,2,5,1822.3,59.937855,30.369803,spb,3.2,пр-кт греческий
9445,"ул. 3-я фрунзенская, 26",1966,180,5,9,7913.0,55.724642,37.572342,moscow,4.0,ул. 3-я фрунзенская
35374,"ул. чайковского, 21 литер а",1835,11,2,3,771.7,59.946396,30.349348,spb,1.8333333333333333,ул. чайковского
38083,"ул. седова, 99 корпус 6 литер д",1952,9,1,3,646.24,59.864954,30.441066,spb,3.0,ул. седова
33365,"пр-кт витебский, 41 корпус 4 литер а",1964,139,7,5,5016.0,59.855701,30.357137,spb,3.971428571428572,пр-кт витебский
6451,"ул. домодедовская, 3",1975,128,2,16,8149.3,55.613921,37.708114,moscow,4.0,ул. домодедовская
9174,"ул. фестивальная, 59 корпус 1",1971,215,6,9,10634.7,55.861843,37.495958,moscow,3.981481481481482,ул. фестивальная
46246,"октябрьская наб., 88 корпус 3 литер а",1959,24,2,3,1162.92,59.872155,30.470774,spb,4.0,октябрьская наб.
45712,"ул. большая морская, 36 литер а",1853,69,7,8,5062.01,59.933149,30.312014,spb,1.2321428571428572,ул. большая морская
38096,"октябрьская наб., 98 корпус 1 литер п",1949,53,4,5,3326.51,59.871007,30.473747,spb,2.65,октябрьская наб.
32357,"ш. петергофское, 72 корпус 6 строение 1",2018,105,3,10,5707.2,59.844339,30.115373,spb,3.5,ш. петергофское
47444,"ул. турку, 15 корпус 2 литер а",1991,79,2,10,4682.1,59.86542,30.390491,spb,3.95,ул. турку
22368,"осенний б-р, 15",1985,521,8,17,28520.4,55.760413,37.406522,moscow,3.8308823529411766,осенний б-р
347,"загорского проезд, 7 корпус 2",1984,82,1,15,4651.0,55.719338,37.443344,moscow,5.466666666666667,загорского проезд
15128,"боровское, 48",1989,128,2,17,8143.0,55.636204,37.347,moscow,3.764705882352941,боровское
13320,"ул. оренбургская, 6 корпус 1",1954,16,3,2,887.8,55.713517,37.857728,moscow,2.6666666666666665,ул. оренбургская
