,Address,Year,Flats,Entrance,Height,Square,Latitude,Longitude
0,"пр-кт суздальский, 73 литер а",1972,251,7,9,12944.25,60.049101,30.39589
1,"ул. 10-я красноармейская, 13 литер а",1863,13,3,5,1471.95,59.912982,30.295737
2,"пр-кт большевиков, 7 корпус 3 литер а",2013,575,3,26,34329.4,59.915052,30.47001
3,"ул. большая конюшенная, 4-6-8 литер а",1916,14,2,4,991.0,59.938239,30.323872
4,"ул. димитрова, 4 корпус 1 литер а",1972,476,13,9,25176.6,59.845935,30.374088
5,"загребский б-р, 35/28 литер а",1979,71,2,9,4077.0,59.83243,30.412266
6,"ул. большая пороховская, 46 литер а",1964,100,5,5,4456.05,59.954056,30.429631
7,"тер. большая каменка, 16 литер а",1964,2,1,1,78.3,60.040851,30.186996
8,"реки фонтанки наб., 98 литер в",1969,10,1,5,590.7,59.923739,30.324977
9,"пр-кт народного ополчения, 51 литер а",1964,54,1,9,1927.2,59.845496,30.278992
10,"ул. замшина, 30 литер а",1961,60,3,5,2601.0,59.974604,30.39978
11,"ш. петергофское, 84 корпус 4 литер а",2017,72,2,10,4257.5,59.848642,30.111412
12,"ул. маршала казакова, 10 корпус 1 литер д",1978,84,1,16,4730.4,59.857717,30.239736
13,"ул. фурштатская, 28 литер а",1916,20,3,5,1227.47,59.945445,30.356481
14,"ул. 2-я советская, 12 литер а",1903,34,5,6,2986.8,59.931567,30.369866
15,"ул. лени голикова, 23 корпус 4 литер а",1967,70,7,5,3188.5,59.843796,30.226773
16,"ул. конная, 10 литер в",1907,13,1,7,790.5,59.929294,30.37584
17,"ул. гжатская, 22 корпус 3 литер а",2011,787,9,22,56773.4,60.012543,30.387635
18,"16-я в.о. линия, 77 литер б",1908,22,1,6,856.7,59.944436,30.26152
19,"ул. 2-я комсомольская, 25 корпус 1 литер а",1961,35,3,3,1438.7,59.837666,30.14323
20,"ул. корнея чуковского, 5 корпус 3 строение 1",2016,190,1,23,9595.9,60.027984,30.457757
21,"пр-кт маршака, 2 корпус 1 литер а",2015,272,4,18,16691.5,60.036461,30.447148
22,"пр-кт дачный, 21 корпус 5 литер а",1965,100,5,5,4214.89,59.838561,30.255861
23,"пр-кт тореза, 102 корпус 5 литер а",1965,287,4,9,10747.4,60.01896,30.328427
24,"ул. пограничника гарькавого, 38 корпус 1 литер а",1966,120,6,5,5360.22,59.831372,30.147856
25,"ул. крупской, 21 литер а",1912,4,3,5,2787.62,59.889954,30.429828
26,"пр-кт народного ополчения, 229 литер а",1970,118,6,5,5387.7,59.825832,30.160082
27,"реки фонтанки наб., 55 литер а",1863,32,6,6,3895.0,59.929272,30.336305
