,Address,Year,Flats,Entrance,Height,Square,Latitude,Longitude,Flats_per_floor,Street
0,"пр-кт суздальский, 73 литер а",1972,251,7,9,12944.25,60.049101,30.39589,3.984126984126984,пр-кт суздальский
1,"ул. 10-я красноармейская, 13 литер а",1863,13,3,5,1471.95,59.912982,30.295737,0.8666666666666666,ул. 10-я красноармейская
2,"пр-кт большевиков, 7 корпус 3 литер а",2013,575,3,26,34329.4,59.915052,30.47001,7.371794871794871,пр-кт большевиков
3,"ул. большая конюшенная, 4-6-8 литер а",1916,14,2,4,991.0,59.938239,30.323872,1.75,ул. большая конюшенная
4,"ул. димитрова, 4 корпус 1 литер а",1972,476,13,9,25176.6,59.845935,30.374088,4.068376068376068,ул. димитрова
5,"загребский б-р, 35/28 литер а",1979,71,2,9,4077.0,59.83243,30.412266,3.9444444444444446,загребский б-р
6,"ул. большая пороховская, 46 литер а",1964,100,5,5,4456.05,59.954056,30.429631,4.0,ул. большая пороховская
7,"тер. большая каменка, 16 литер а",1964,2,1,1,78.3,60.040851,30.186996,2.0,тер. большая каменка
8,"реки фонтанки наб., 98 литер в",1969,10,1,5,590.7,59.923739,30.324977,2.0,реки фонтанки наб.
9,"пр-кт народного ополчения, 51 литер а",1964,54,1,9,1927.2,59.845496,30.278992,6.0,пр-кт народного ополчения
10,"ул. замшина, 30 литер а",1961,60,3,5,2601.0,59.974604,30.39978,4.0,ул. замшина
11,"ш. петергофское, 84 корпус 4 литер а",2017,72,2,10,4257.5,59.848642,30.111412,3.6,ш. петергофское
12,"ул. маршала казакова, 10 корпус 1 литер д",1978,84,1,16,4730.4,59.857717,30.239736,5.25,ул. маршала казакова
13,"ул. фурштатская, 28 литер а",1916,20,3,5,1227.47,59.945445,30.356481,1.3333333333333337,ул. фурштатская
14,"ул. 2-я советская, 12 литер а",1903,34,5,6,2986.8,59.931567,30.369866,1.1333333333333333,ул. 2-я советская
15,"ул. лени голикова, 23 корпус 4 литер а",1967,70,7,5,3188.5,59.843796,30.226773,2.0,ул. лени голикова
16,"ул. конная, 10 литер в",1907,13,1,7,790.5,59.929294,30.37584,1.8571428571428568,ул. конная
17,"ул. гжатская, 22 корпус 3 литер а",2011,787,9,22,56773.4,60.012543,30.387635,3.9747474747474745,ул. гжатская
18,"16-я в.о. линия, 77 литер б",1908,22,1,6,856.7,59.944436,30.26152,3.6666666666666665,16-я в.о. линия
19,"ул. 2-я комсомольская, 25 корпус 1 литер а",1961,35,3,3,1438.7,59.837666,30.14323,3.888888888888889,ул. 2-я комсомольская
20,"ул. корнея чуковского, 5 корпус 3 строение 1",2016,190,1,23,9595.9,60.027984,30.457757,8.26086956521739,ул. корнея чуковского
21,"пр-кт маршака, 2 корпус 1 литер а",2015,272,4,18,16691.5,60.036461,30.447148,3.7777777777777777,пр-кт маршака
22,"пр-кт дачный, 21 корпус 5 литер а",1965,100,5,5,4214.89,59.838561,30.255861,4.0,пр-кт дачный
23,"пр-кт тореза, 102 корпус 5 литер а",1965,287,4,9,10747.4,60.01896,30.328427,7.972222222222222,пр-кт тореза
24,"ул. пограничника гарькавого, 38 корпус 1 литер а",1966,120,6,5,5360.22,59.831372,30.147856,4.0,ул. пограничника гарькавого
25,"ул. крупской, 21 литер а",1912,4,3,5,2787.62,59.889954,30.429828,0.2666666666666666,ул. крупской
26,"пр-кт народного ополчения, 229 литер а",1970,118,6,5,5387.7,59.825832,30.160082,3.9333333333333336,пр-кт народного ополчения
27,"реки фонтанки наб., 55 литер а",1863,32,6,6,3895.0,59.929272,30.336305,0.8888888888888888,реки фонтанки наб.
28,"пр-кт рижский, 48 литер а",1899,72,3,5,1726.4,59.913244,30.280546,4.8,пр-кт рижский
29,"ул. зверинская, 20 литер а",1910,33,3,6,2894.89,59.953196,30.298495,1.8333333333333333,ул. зверинская
30,"ул. туристская, 13 корпус 1 литер а",2009,302,3,17,18681.6,59.998166,30.210514,5.921568627450981,ул. туристская
31,"ул. пудожская, 3 литер а",1970,85,3,6,4171.0,59.964332,30.295117,4.722222222222222,ул. пудожская
32,"ул. 2-я советская, 14/4 литер а",1904,55,4,6,4432.1,59.931422,30.37027,2.2916666666666665,ул. 2-я советская
33,"ул. 8-я советская, 25 литер а",1894,21,3,5,1677.7,59.936102,30.374968,1.4,ул. 8-я советская
34,"ковенский пер., 28 литер а",1860,11,2,4,1130.4,59.9374,30.36391,1.375,ковенский пер.
35,"пр-кт трамвайный, 11 корпус 1 литер а",1961,70,7,5,3162.1,59.855697,30.26134,2.0,пр-кт трамвайный
36,"пр-кт металлистов, 130 литер а",1960,80,4,5,3479.17,59.974356,30.386718,4.0,пр-кт металлистов
37,"ул. народная, 39 литер б",1963,80,5,5,3502.12,59.881882,30.471861,3.2,ул. народная
38,"ул. гатчинская, 31-33 литер а",1910,80,2,7,7167.44,59.963327,30.296923,5.714285714285714,ул. гатчинская
39,"пр-кт обуховской обороны, 69 литер в",1871,12,2,5,1118.25,59.902285,30.424115,1.2,пр-кт обуховской обороны
40,"ул. коммуны, 32 корпус 3 литер а",1981,143,4,9,7887.6,59.949496,30.497489,3.9722222222222223,ул. коммуны
41,"ул. подвойского, 20 корпус 1 литер х",1972,306,8,9,16337.0,59.912648,30.472759,4.25,ул. подвойского
42,"9-я в.о. линия, 48 литер а",1909,101,8,6,7688.5,59.943927,30.273755,2.1041666666666665,9-я в.о. линия
43,"ул. пулковская, 13 литер а",2002,370,5,16,22506.3,59.837323,30.347893,4.625,ул. пулковская
44,"пр-кт рижский, 18 литер к",1889,8,1,5,729.1,59.913365,30.292826,1.6,пр-кт рижский
45,"офицерский пер., 3-5 литер а",1932,20,3,4,2522.76,59.954534,30.288487,1.6666666666666667,офицерский пер.
46,"ул. большая разночинная, 19 литер а",1909,55,2,8,3967.2,59.960634,30.288371,3.4375,ул. большая разночинная
47,"пр-кт ярославский, 8 литер б",1949,16,4,2,860.5,60.01145,30.321599,2.0,пр-кт ярославский
48,"ул. 3-я советская, 7 литер а",1904,42,4,6,4390.9,59.932184,30.369471,1.75,ул. 3-я советская
49,"ул. белинского, 7 литер а",1849,22,3,4,1275.3,59.938081,30.34633,1.8333333333333333,ул. белинского
50,"институтский пер., 5 корпус 5 литер а",1885,4,1,1,173.6,59.994958,30.341991,4.0,институтский пер.
51,"ул. композиторов, 22 корпус 4 литер а",2003,105,1,17,5827.5,60.060819,30.316632,6.176470588235294,ул. композиторов
52,"пр-кт дальневосточный, 33 корпус 1 строение 1",2019,759,4,25,33958.4,59.898864,30.458745,7.59,пр-кт дальневосточный
53,"пр-кт гражданский, 130 корпус 2 литер а",1971,90,6,5,4343.76,60.041463,30.423837,3.0,пр-кт гражданский
54,"ул. лахтинская, 21 литер а",1970,60,2,5,1754.43,59.963764,30.298189,6.0,ул. лахтинская
55,"ул. типанова, 32 корпус 2 литер а",2002,162,2,16,9940.5,59.85224,30.358978,5.0625,ул. типанова
56,"ул. маяковского, 7/27 литер а",1826,23,2,4,1923.0,59.935453,30.355169,2.875,ул. маяковского
57,"ул. бабушкина, 79 литер а",1954,30,2,5,1937.66,59.8743,30.444758,3.0,ул. бабушкина
58,"пр-кт загородный, 28 литер а",1898,78,11,5,6645.26,59.925047,30.340248,1.4181818181818182,пр-кт загородный
59,"ул. гороховая, 64 литер а",1902,22,5,6,2647.8,59.923054,30.330591,0.7333333333333334,ул. гороховая
60,"пр-кт стачек, 73 литер а",1955,91,3,7,6085.99,59.86837,30.25958,4.333333333333333,пр-кт стачек
61,"пр-кт энергетиков, 4 корпус 3 строение 1",2019,231,3,15,13480.6,59.935205,30.433565,5.133333333333334,пр-кт энергетиков
62,"ул. тюшина, 12 литер а",1813,11,1,4,661.53,59.916789,30.349241,2.75,ул. тюшина
63,"пр-кт художников, 15 корпус 2 литер а",1977,72,2,10,4284.0,60.03714,30.347399,3.6,пр-кт художников
64,"ул. малая десятинная, 36 строение 1",2016,44,3,5,3149.8,60.033513,30.294264,2.933333333333333,ул. малая десятинная
65,"пр-кт лиговский, 183 литер б",1905,16,1,5,885.5,59.91282,30.348037,3.2,пр-кт лиговский
